 (-1.558548186944043E-005,-6.068678947891045E-017)
 (-8.413892744693358E-012,-8.117817399191929E-013)
 (-9.914736976438182E-012,1.004846466451381E-011)
 (4.580261354653753E-012,-6.286293810067394E-012)
 (-3.016897184003088E-012,1.194001009277038E-014)
 (4.536405554932219E-006,-3.724952930725832E-012)
 (-9.358345923488612E-007,1.680346199640567E-011)
 (9.358285578664856E-007,-8.660318339195894E-012)
 (-6.165565491288811E-012,6.943680777919198E-012)
 (-4.085585909760459E-006,5.268172160952468E-011)
 (-8.413901086273823E-012,8.117826072809309E-013)
 (1.741585717873143E-005,-2.056214147339225E-017)
 (5.039938701567517E-013,5.045372079110974E-013)
 (1.050245895567632E-012,2.110726117542441E-012)
 (-4.192045359929439E-011,1.266409709304445E-011)
 (9.358293744454814E-007,-5.999958402292879E-011)
 (1.797038612808195E-005,1.821631474678044E-010)
 (-1.865309446924665E-006,-1.263592436249692E-010)
 (2.111688259150146E-010,-4.818051208098248E-006)
 (-1.517978973565901E-006,-1.788246805408539E-010)
 (-9.914745355288097E-012,-1.004846574871598E-011)
 (5.039963163879033E-013,-5.045404605176149E-013)
 (1.741591562141702E-005,-2.077829989099902E-017)
 (1.632756607596996E-011,-1.053735001815478E-011)
 (5.492885890600631E-012,1.585202130151286E-012)
 (-9.357981982480341E-007,3.862842633110299E-011)
 (-1.865289293358240E-006,-9.288180006789533E-011)
 (1.797036185723316E-005,9.535971906321668E-011)
 (1.491705801850290E-010,-4.818058942828693E-006)
 (1.517996291021937E-006,6.324452268315073E-011)
 (4.580261530836606E-012,6.286290190927893E-012)
 (1.050247237267821E-012,-2.110729370148959E-012)
 (1.632756707885697E-011,1.053735329786636E-011)
 (3.128772419690705E-005,1.379056918438838E-017)
 (4.875175377326915E-013,5.923741813223489E-012)
 (-5.357451094864204E-012,1.540227300063254E-011)
 (-7.555100620636190E-011,4.818066544777061E-006)
 (-4.324687981858977E-011,4.818019020270378E-006)
 (1.423538938433340E-006,3.794422946775759E-011)
 (-1.980093741965963E-011,-1.298303482847636E-011)
 (-3.016897184003088E-012,-1.194361720390201E-014)
 (-4.192047584576771E-011,-1.266410023723075E-011)
 (5.492863501825769E-012,-1.585198335443683E-012)
 (4.875175377326915E-013,-5.923756941954418E-012)
 (7.271332175993409E-007,-8.096433526066430E-017)
 (-4.085603689830465E-006,7.290055520472158E-011)
 (1.517942203101285E-006,-4.668434692642331E-012)
 (-1.517971308381788E-006,5.128205520822660E-011)
 (-2.079083021196138E-011,2.217155910064794E-011)
 (8.061436180865043E-007,9.916418902453635E-011)
 (4.536405554932273E-006,3.724960863072819E-012)
 (9.358293744574076E-007,5.999954000432059E-011)
 (-9.357981982359046E-007,-3.862838204144424E-011)
 (-5.357451189731894E-012,-1.540226891012507E-011)
 (-4.085603689831549E-006,-7.290068423130827E-011)
 (-1.558546107753057E-005,-6.163929574584690E-017)
 (-6.342033584356760E-012,-8.053987706792276E-012)
 (-1.130706340935080E-011,5.809121955170637E-012)
 (1.234867702613451E-011,-4.781418764011356E-012)
 (-3.077587284409239E-012,-2.234705316134184E-014)
 (-9.358345923607739E-007,-1.680341808621769E-011)
 (1.797038612808368E-005,-1.821631141285876E-010)
 (-1.865289293358566E-006,9.288174352589827E-011)
 (-7.555090819448551E-011,-4.818066544755160E-006)
 (1.517942203125795E-006,4.668562953759336E-012)
 (-6.342042003864255E-012,8.053986622590104E-012)
 (1.741590545191246E-005,-2.155575191082209E-017)
 (4.907295307143931E-013,-5.851070292877715E-013)
 (1.202617919257489E-011,1.362365081858385E-014)
 (-3.104482403299465E-012,2.026571889902212E-011)
