 (-1.948185233680054E-006,-7.585848684863806E-018)
 (-1.051737635784228E-012,1.014728259101164E-013)
 (-1.239343169411012E-012,-1.256058218589497E-012)
 (5.725326913545757E-013,7.857862738659867E-013)
 (-3.771121480003860E-013,-1.492952150487751E-015)
 (-1.051736593086670E-012,-1.014727174898991E-013)
 (2.176982147341429E-006,-2.570267684174031E-018)
 (6.299953954848792E-014,-6.306755756470186E-014)
 (1.312809046584776E-013,-2.638411712686199E-013)
 (-5.240059480720964E-012,-1.583012529653844E-012)
 (-1.239342122054773E-012,1.256058083064226E-012)
 (6.299923376959396E-014,6.306715098888718E-014)
 (2.176989452677127E-006,-2.597287486374878E-018)
 (2.040945884857121E-012,1.317169162233295E-012)
 (6.866079377282211E-013,-1.981497919304604E-013)
 (5.725326693317191E-013,-7.857867262584243E-013)
 (1.312807369459540E-013,2.638407646928051E-013)
 (2.040945759496245E-012,-1.317168752269347E-012)
 (3.910965524613382E-006,1.723821148048547E-018)
 (6.093969221658644E-014,-7.404696177443022E-013)
 (-3.771121480003860E-013,1.492501261596298E-015)
 (-5.240056699911799E-012,1.583012136630556E-012)
 (6.866107363250789E-013,1.981502662689108E-013)
 (6.093969221658644E-014,7.404677266529361E-013)
 (9.089165219991762E-008,-1.012054190758304E-017)
 (-4.406041408517360E-006,-6.662774173528397E-013)
 (-2.527642591759750E-012,-2.048291278342745E-013)
 (-9.808452878026785E-013,-5.057825699602592E-012)
 (4.759128687179525E-014,2.844298431832133E-007)
 (-3.245558674786798E-012,-3.705359180291092E-014)
 (1.225814358330433E-012,8.128470769738772E-013)
 (5.575882158531838E-007,-4.117468085235165E-012)
 (-3.442149006216530E-012,5.871784856297315E-015)
 (-1.399955558718650E-012,1.865722847212408E-012)
 (3.175593726238540E-012,-7.355702825269025E-013)
 (4.525230288144473E-012,-2.199732908846064E-012)
 (-1.688158227642592E-012,-5.379662102074355E-015)
 (5.575895226344727E-007,5.586481797992260E-012)
 (-1.357339737026279E-012,-7.317623402028090E-012)
 (6.288969223318917E-012,-3.365910916414313E-012)
 (9.704074778235498E-013,2.844262368162375E-007)
 (-1.278179724063279E-012,-1.594611504066078E-012)
 (-1.312639579008953E-012,-4.177147167115473E-012)
 (8.963901258024715E-007,-6.748499057750850E-013)
 (-2.274484379592885E-014,3.553415259250053E-013)
 (1.052176751216612E-012,-5.193308416228010E-014)
 (-8.467136239647018E-012,1.744543610049040E-012)
 (2.994792741160998E-012,1.698932674772981E-012)
 (3.026116683624293E-015,1.379703934380107E-012)
 (-3.343463140522675E-006,3.411453790898995E-012)
 (-4.411892587685820E-006,3.015051045201360E-013)
 (-4.577474196128945E-013,-5.605667644818985E-013)
 (1.435286351575416E-013,-1.606674760953625E-013)
 (-4.020818820797618E-014,-2.794404435397030E-006)
 (-3.416612312577125E-013,1.327317569006434E-015)
 (-6.707370119388157E-013,4.406186947895625E-013)
 (6.097099881433098E-006,-1.562724017030448E-013)
 (-2.482288666608677E-014,5.167265202418552E-016)
 (5.866775842260433E-014,-2.515100859512825E-013)
 (6.861914329933313E-013,4.377061592949345E-013)
 (-5.655986475613245E-013,1.487905732324747E-013)
 (-2.239035881343703E-014,1.216110613361417E-016)
 (6.097100120546280E-006,-3.517189794619013E-014)
 (-1.846160485770298E-014,-3.817970414918705E-013)
 (-2.004945295615117E-012,5.955775457500925E-013)
 (-3.900317169096400E-013,-2.794405553393942E-006)
 (-1.609798381293874E-013,-7.596209190905822E-013)
 (-5.572457642891160E-014,-5.987670110435290E-013)
 (3.151284334540922E-006,-2.092057809540554E-013)
 (2.975934372380960E-015,-1.812496685940981E-013)
 (1.322023773986747E-013,5.894231229399555E-016)
 (6.762260835926210E-013,-6.191371878074350E-013)
 (-2.275726021473343E-012,-4.529531148756133E-013)
 (-8.314787584333981E-017,8.115515095878655E-013)
 (-4.983229345467020E-006,-8.264217218542648E-014)
 (-1.494755097682927E-005,1.046157247202445E-013)
 (-1.663942570426062E-012,-9.635288443846091E-013)
